ma_hd,ma_hang,so_luong,don_gia,thanh_tien,ngay_mua
1,MH001,21,12000,252000,2023-07-25 21:22:06.651285
2,MH002,32,16000,512000,2023-07-25 21:45:10.120260
3,MH003,3,180000,540000,2023-07-25 21:46:55.382848
3,MH004,5,40000,200000,2023-07-25 21:47:12.815779
4,MH003,23,12000,276000,2023-07-26 09:46:07.748213
4,MH005,9,23000,207000,2023-07-26 09:46:30.258226
5,MH006,6,19000,114000,2023-07-26 09:48:42.387284
5,MH001,25,12000,300000,2023-07-26 09:48:58.824377
6,MH001,2,21000,42000,2023-07-26 09:51:51.529050
6,MH002,3,16000,48000,2023-07-26 09:52:05.307516
7,MH002,5,16000,80000,2023-12-20 23:33:25.521243
8,MH008,12,32000,384000,2023-12-20 23:34:19.544046
8,MH001,3,12000,36000,2023-12-20 23:34:34.418063
6,MH001,2,21000,42000,2023-07-26 09:51:51.529050
6,MH002,3,16000,48000,2023-07-26 09:52:05.307516
7,MH002,5,16000,80000,2023-12-20 23:33:25.521243
8,MH008,12,32000,384000,2023-12-20 23:34:19.544046
8,MH001,3,12000,36000,2023-12-20 23:34:34.418063
15,mh008,1,32000.0,32000.0,2023-12-31 16:21:36
